Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
110,2025-10-22 18:39:28,1.326049776673166e-05,4.2767545067492945e-07,1.1216984160178356e-05,7.889886581051195e-07,1.2135641934696295e-05,5.671715725690997e-07,5439125281.781678
111,2025-10-22 18:40:03,1.3607046861263683e-05,3.749913169744639e-07,1.0754284601954822e-05,6.601513220655864e-07,1.1500786377238725e-05,5.729136537855417e-07,5439125133.895282
112,2025-10-22 18:40:38,1.1455462521015036e-05,3.0228055558437913e-07,9.324314147907131e-06,4.81094483501815e-07,9.81841841962705e-06,5.322228902319531e-07,5439125866.0344095
113,2025-10-22 18:41:13,1.1163101210076576e-05,2.789265536338098e-07,9.566984839226578e-06,6.336309255342031e-07,1.0060005301237851e-05,4.911430194773501e-07,5439125459.040455
114,2025-10-22 18:41:47,1.3244658150446398e-05,4.379372571190175e-07,1.0659300046178544e-05,6.11081380477047e-07,1.2087612187183794e-05,5.958424826153204e-07,5439123175.611094
115,2025-10-22 18:42:22,1.3224489409102702e-05,3.907133875627917e-07,1.024155238282809e-05,6.290418058390144e-07,1.2459973314005168e-05,7.585192005741083e-07,5439123425.427801
116,2025-10-22 18:42:57,1.33972069999988e-05,5.739070888249401e-07,1.0493170762071458e-05,5.832006568057923e-07,1.2130967760537459e-05,7.151585619909953e-07,5439122651.460413
117,2025-10-22 18:43:32,1.3419486063037667e-05,3.966027866938568e-07,1.0212617459259832e-05,6.712057966516092e-07,1.1958560553804176e-05,6.446994973094061e-07,5439122925.584709
118,2025-10-22 18:44:07,1.3685136990515545e-05,3.573069297025354e-07,1.0363153557069182e-05,5.394032870873381e-07,1.2370161851960049e-05,6.16048017772727e-07,5439122669.422877
119,2025-10-22 18:44:41,1.3543866708598529e-05,3.326743720436244e-07,nan,nan,1.1030580898685471e-05,7.628385292414292e-07,nan
120,2025-10-22 18:45:16,1.2387652831513662e-05,2.9710150532476555e-07,9.95364615485883e-06,5.50255333989994e-07,1.3594262135763202e-05,6.481394429070411e-07,5439121003.424877
